epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2931.24,1.15369,2.01656,1.02511,1.3122,0,0.67386,0.61194,0.64099,0.37878,0.66838,0.60697,0.63129,0.36914,1.15184,2.07441,1.15471,1.34557,0,0.0009308,0.0009308,0.0009308
29,3015.36,1.13754,2.01046,0.99185,1.30124,0,0.71781,0.63682,0.69646,0.38169,0.68554,0.64179,0.67071,0.35467,1.23125,2.18043,1.17423,1.47006,0,0.0008912,0.0008912,0.0008912
30,3099.05,1.11656,1.98584,0.96759,1.28927,0,0.75651,0.60285,0.68942,0.42063,0.76276,0.60783,0.69009,0.41569,1.22402,2.11719,0.96951,1.53396,0,0.0008516,0.0008516,0.0008516
31,3181.16,1.11951,1.97156,0.95855,1.28469,0,0.78916,0.63315,0.69758,0.39276,0.80348,0.63184,0.69784,0.39815,1.36696,2.26744,1.03722,1.72786,0,0.000812,0.000812,0.000812
32,3263.25,1.09536,1.93685,0.91735,1.26683,0,0.68953,0.65174,0.70325,0.41506,0.73895,0.61965,0.70471,0.41018,1.15865,2.10967,1.06055,1.46935,0,0.0007724,0.0007724,0.0007724
33,3347.7,1.08327,1.92579,0.91082,1.25777,0,0.70427,0.63981,0.69272,0.41807,0.74987,0.62644,0.70363,0.4193,1.18681,2.1305,0.88565,1.45737,0,0.0007328,0.0007328,0.0007328
34,3428.37,1.07133,1.87518,0.88259,1.24771,0,0.75183,0.63184,0.69502,0.40462,0.75574,0.6311,0.6814,0.39911,1.215,2.03538,1.03329,1.43666,0,0.0006932,0.0006932,0.0006932
35,3510.52,1.06103,1.88733,0.88107,1.24595,0,0.71931,0.64677,0.6954,0.41958,0.73038,0.65672,0.6956,0.41281,1.234,2.18359,0.99988,1.50874,0,0.0006536,0.0006536,0.0006536
36,3592.02,1.04057,1.85472,0.86613,1.23374,0,0.72955,0.68657,0.74817,0.44014,0.7624,0.68657,0.74938,0.44372,1.27654,2.19373,0.96659,1.55622,0,0.000614,0.000614,0.000614
37,3675.69,1.03058,1.84754,0.83965,1.22682,0,0.71172,0.64677,0.69634,0.41062,0.72687,0.63682,0.69581,0.41172,1.35659,2.26465,1.09459,1.61706,0,0.0005744,0.0005744,0.0005744
38,3757.55,1.03097,1.80631,0.82664,1.22017,0,0.76458,0.68657,0.7279,0.42289,0.77811,0.68657,0.73042,0.42254,1.27974,2.08814,0.91251,1.53599,0,0.0005348,0.0005348,0.0005348
39,3839.23,0.99499,1.77176,0.8104,1.20535,0,0.75488,0.63184,0.7281,0.42906,0.73673,0.61692,0.70294,0.42628,1.31289,2.20104,0.94683,1.57584,0,0.0004952,0.0004952,0.0004952
40,3922.6,0.97731,1.74497,0.78622,1.19332,0,0.75569,0.60697,0.70617,0.43662,0.7487,0.60199,0.69844,0.42816,1.27652,2.33867,1.11931,1.58281,0,0.0004556,0.0004556,0.0004556
41,4005.79,0.93728,1.65941,0.71251,1.195,0,0.78451,0.64179,0.71697,0.43488,0.78451,0.64179,0.72824,0.42291,1.23029,2.27184,1.02536,1.53271,0,0.000416,0.000416,0.000416
42,4082.48,0.90273,1.56874,0.64114,1.16768,0,0.79083,0.67164,0.72863,0.42892,0.78497,0.66667,0.7187,0.41574,1.23631,2.25385,0.92519,1.52985,0,0.0003764,0.0003764,0.0003764
43,4160.8,0.87769,1.54703,0.61455,1.15009,0,0.77694,0.60199,0.6822,0.38769,0.76527,0.61194,0.67958,0.38733,1.37203,2.42031,1.15759,1.68361,0,0.0003368,0.0003368,0.0003368
44,4238.5,0.86385,1.52376,0.5974,1.13315,0,0.72399,0.67164,0.72944,0.43044,0.71327,0.66169,0.70748,0.42418,1.24523,2.21087,0.95362,1.58873,0,0.0002972,0.0002972,0.0002972
45,4315.41,0.82834,1.47555,0.57001,1.11529,0,0.73268,0.69543,0.7067,0.40915,0.72185,0.68429,0.69968,0.40693,1.26603,2.31806,0.96139,1.55317,0,0.0002576,0.0002576,0.0002576
46,4392.6,0.8085,1.44951,0.56216,1.10228,0,0.75399,0.65672,0.72123,0.43039,0.73567,0.65079,0.71107,0.42159,1.23793,2.43522,0.95762,1.55693,0,0.000218,0.000218,0.000218
47,4470.81,0.79405,1.44485,0.53513,1.09801,0,0.69175,0.69221,0.71897,0.41627,0.70597,0.68088,0.70722,0.41708,1.26211,2.44097,0.93207,1.60901,0,0.0001784,0.0001784,0.0001784
48,4548.65,0.76549,1.40932,0.51294,1.07438,0,0.67862,0.68657,0.71331,0.42736,0.67862,0.68657,0.70456,0.42213,1.21919,2.50221,0.88377,1.56815,0,0.0001388,0.0001388,0.0001388
49,4627.91,0.75626,1.37416,0.50875,1.0684,0,0.69219,0.68159,0.72264,0.42631,0.68713,0.67662,0.70932,0.42342,1.21649,2.45214,0.87514,1.58095,0,9.92e-05,9.92e-05,9.92e-05
50,4706.03,0.74556,1.37907,0.49861,1.05982,0,0.75043,0.64677,0.70439,0.41909,0.74344,0.64874,0.69927,0.41503,1.24863,2.47193,0.9193,1.61151,0,5.96e-05,5.96e-05,5.96e-05
